autopropulsion:forged_rods	1	true	engine/rods
autopropulsion:manual_5speed	2	true	gearbox
autopropulsion:model_air_filter	3	false	air_filter
autopropulsion:model_alternator	4	false	alternator
autopropulsion:model_anti_roll_bar	5	false	anti_roll_bar
autopropulsion:model_apex_seal	6	false	apex_seal
autopropulsion:model_automatic_gearbox	7	false	automatic_gearbox
autopropulsion:model_battery	8	false	battery
autopropulsion:model_boost_pipe	9	false	boost_pipe
autopropulsion:model_bov	10	false	bov
autopropulsion:model_brake_caliper	11	false	brake_caliper
autopropulsion:model_brake_pad	12	false	brake_pad
autopropulsion:model_brake_rotor	13	false	brake_rotor
autopropulsion:model_bumper_front	14	false	bumper_front
autopropulsion:model_bumper_rear	15	false	bumper_rear
autopropulsion:model_camshaft	16	false	camshaft
autopropulsion:model_camshaft_gear	17	false	camshaft_gear
autopropulsion:model_carburetor	18	false	carburetor
autopropulsion:model_charge_pipe	19	false	charge_pipe
autopropulsion:model_clutch	20	false	clutch
autopropulsion:model_coilover	21	false	coilover
autopropulsion:model_connecting_rod	22	false	connecting_rod
autopropulsion:model_cooling_fan	23	false	cooling_fan
autopropulsion:model_crankcase_vent	24	false	crankcase_vent
autopropulsion:model_crankshaft	25	false	crankshaft
autopropulsion:model_cvt_gearbox	26	false	cvt_gearbox
autopropulsion:model_cylinder_head	27	false	cylinder_head
autopropulsion:model_cylinder_liner	28	false	cylinder_liner
autopropulsion:model_damper	29	false	damper
autopropulsion:model_dashboard	30	false	dashboard
autopropulsion:model_dct_gearbox	31	false	dct_gearbox
autopropulsion:model_differential	32	false	differential
autopropulsion:model_door_left	33	false	door_left
autopropulsion:model_door_right	34	false	door_right
autopropulsion:model_dyno_rollers	35	false	dyno_rollers
autopropulsion:model_eccentric_shaft	36	false	eccentric_shaft
autopropulsion:model_ecu	37	false	ecu
autopropulsion:model_engine_block_i4	38	false	engine_block_i4
autopropulsion:model_engine_block_rotary	39	false	engine_block_rotary
autopropulsion:model_engine_block_v8	40	false	engine_block_v8
autopropulsion:model_exhaust_header	41	false	exhaust_header
autopropulsion:model_exhaust_system	42	false	exhaust_system
autopropulsion:model_exhaust_valve	43	false	exhaust_valve
autopropulsion:model_fender	44	false	fender
autopropulsion:model_final_drive	45	false	final_drive
autopropulsion:model_flywheel	46	false	flywheel
autopropulsion:model_fuel_pump	47	false	fuel_pump
autopropulsion:model_fuel_pump_block	48	false	fuel_pump_block
autopropulsion:model_fuel_tank	49	false	fuel_tank
autopropulsion:model_garage_lift	50	false	garage_lift
autopropulsion:model_harmonic_damper	51	false	harmonic_damper
autopropulsion:model_head_bolt	52	false	head_bolt
